file_name,uni,wylie,url,dept,grade,char_len,audio_len,path,inf
STT_NS_M0021_0311_2340368_to_2348789,ཨང་། ཨ་ཅག་རྒན་པ་ཨེ་འདྲའི་ཡོད་རཱ་ཡོད་བ། ཨ་ཅག་རྒན་པ་ལབ་ནས་ད་ངའི་ཨ་མ་ལགས་ཀི་ལོ་ཚད་ཨེ་འདྲའི་ཡོད་རཱ་ཨ་མ་དང་ཨེ་འདྲའི་ཡོད་རཱ་ཡོད་བ། ད་དེ་ཚོ་ག་རེ་བྱེད་རེད་ལབ་ན་ཡོད་བ།  ,ang /_a cag rgan pa e 'dra'i yod rA yod ba/_a cag rgan pa lab nas da nga'i a ma lags ki lo tshad e 'dra'i yod rA a ma dang e 'dra'i yod rA yod ba/_da de tsho ga re byed red lab na yod ba/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NS_M0021_0311_2340368_to_2348789.wav,STT_NS,3,160,8.421,wav16k/STT_NS_M0021_0311_2340368_to_2348789.wav,ཨ་ཨ་ཅག་རྒན་པ་ཨེ་འདྲའི་ཡོད་རཱ་ཡང། ད་ཨ་ཅག་རྒན་པ་ལབ་ན་ད་ངའི་ཨ་མ་ལགས་ཀི་ལོ་ཚད་ཨེ་འདྲའི་ཡོད་རཱ། ད་ཨ་མ་དང་ཨེ་འདྲའི་ཡོད་རཱ་ཡང་། ད་དེ་ཚོ་ག་རེ་བྱེད་ཀི་རེད་ལབ་ན་ཡོད་བ།
STT_NS_M0021_0200_1478916_to_1486409,གཉིས་པ་བཏང་ཡ་ཅིག་ཡོད་རཱ། ཨོ་དེ་བསམ་བློ་ཁོ་རང་སླེབས་ཀི་མ་རེད་ཡོད་བ། ཨེ་ནས་ཨོ་དེ་ལབ་དུས་དཔེ་ད་ག་རེད་ལབ་དགོས་རེད་སོ་སོ་སེམས་ཁམས་རིག་པ་ལ་དཔེ་སྐྱོན་སྤྲད་གི་ཡོད་རེད་བསམ་གི་འདུག ,gnyis pa btang ya cig yod rA/_o de bsam blo kho rang slebs ki ma red yod ba/_e nas o de lab dus dpe da ga red lab dgos red so so sems khams rig pa la dpe skyon sprad gi yod red bsam gi 'dug_,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NS_M0021_0200_1478916_to_1486409.wav,STT_NS,3,171,7.493,wav16k/STT_NS_M0021_0200_1478916_to_1486409.wav,གཉིས་པ་བཏང་ཡ་ཅིག་ཡོད་རཱ། ཨོ་དེ་བསམ་བློ་ཁོ་རང་སླེབས་ཀི་མ་རེད་ཡོད་བ། ཨེ་ནས་ཨོ་དེ་ལབ་དུས་དཔེ་ད་ག་རེ་ལབ་དགོས་རེད། སོ་སོའི་སེམས་ཁམས་རིག་པ་ལ་དཔེ་སྐྱོན་སྤྲད་ཀི་ཡོད་རེད་བསམ་གི་འདུག
STT_NS_M0021_0201_1487168_to_1496158,དེ་ལས་ལྷག་བ་ཡོད་བ། ང་རང་ཚོ་ཡོད་བ་སོ་སོ་ཨེམ་ཆི་འདྲ་བོ་ཅིག་དང་། སོ་སོ་མི་ངོ་ཤེས་པ་འདྲ་བོ་ཅིག་ལ་ཨེ་འདྲའི་འདྲ་བོ་ལ་ད་སྐད་ཆ་བཤད་བ་ཡིན་ན་ང་ཨེ་འདྲའི་འདྲ་བོ།  ,de las lhag ba yod ba/_nga rang tsho yod ba so so em chi 'dra bo cig dang /_so so mi ngo shes pa 'dra bo cig la e 'dra'i 'dra bo la da skad cha bshad ba yin na nga e 'dra'i 'dra bo/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NS_M0021_0201_1487168_to_1496158.wav,STT_NS,3,151,8.99,wav16k/STT_NS_M0021_0201_1487168_to_1496158.wav,འདི་ལས་ལྷག་ག་ཡོད་བ། ང་རང་ཚོ་ཡོད་བ། སོ་སོ་ཨེམ་ཆི་འདྲ་བོ་ཅིག་དང་སོ་སོ་མི་ངོ་ཤེས་པ་འདྲ་བོ་ཅིག་ལ་ཨེ་འདྲའི་འདྲ་བོ་ལ་ད་སྐད་ཆ་བཤད་པ་ཡིན་ན་ང་ཨེ་འདྲའི་འདྲ་བོ།
STT_NS_M0021_0202_1496158_to_1505148,ཅིག་ཆགས་ཀི་འདུག ཨེ་འདྲའི་ལབ་བ་ཡིན་ན། ད་ད་ལྟ་དྲ་རྒྱ་ནང་ལ་སྟོན་རྒྱོ་ནང་བཞིན་ད་དེ་འདྲའི་ཛ་དྲག་པོ་དེ་འདྲའི་གནས་གནས་ཚུལ་ཨེ་འདྲའི་ཡོད་མ་རེད། དྲང་པོ་བཤད་ན། ད་ཨོ་དེ་ལ།  ,cig chags ki 'dug_e 'dra'i lab ba yin na/_da da lta dra rgya nang la ston rgyo nang bzhin da de 'dra'i dza drag po de 'dra'i gnas gnas tshul e 'dra'i yod ma red/_drang po bshad na/_da o de la/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NS_M0021_0202_1496158_to_1505148.wav,STT_NS,3,161,8.99,wav16k/STT_NS_M0021_0202_1496158_to_1505148.wav,ཅིགཆགས་ཀི་འདུག ཨེ་འདྲའི་ལབ་པ་ཡིན་ན། ད་ད་ལྟ་དྲ་རྒྱ་ནང་སྟོན་རྒྱོ་ནང་བཞིན་ད་དེ་འདྲའི་ཛ་དྲག་པོ་དེ་འདྲའི་གནགནས་ཚུལ་ཨེ་འདྲའི་ཡོད་མ་རེད། དྲང་པོ་བཤད་ན། ད་ཨོ་དེ་ལ།
STT_NS_M0021_0220_1636579_to_1645932,ཨེ་ནས་སོ་སོ་ད་ཨེ་འདྲའི་ཚོར་དུས་ག་བྱེད་ཡ་རེད་ལབ་ན་ད་ཁ་པར་མཚམས་བཞག་ལབ་ནས་ཡོད་བ་ད་སོ་སོ་ཁྱོད་རང་གཟུགས་པོ་ཡི་ཁྱོད་རང་མིག་གི་ཡོད་བ་རྟགས་སྟོན་གི་ཡོད་རེད་ཡོད་བ། ད་ཁ་པར་བལྟ་ཡ་མང་དྲག་བཞག་ལབ་ནས་ལབ་དགོས་རེད། ཨེ་ནས་ད་དུང་།  ,e nas so so da e 'dra'i tshor dus ga byed ya red lab na da kha par mtshams bzhag lab nas yod ba da so so khyod rang gzugs po yi khyod rang mig gi yod ba rtags ston gi yod red yod ba/_da kha par blta ya mang drag bzhag lab nas lab dgos red/_e nas da dung /__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NS_M0021_0220_1636579_to_1645932.wav,STT_NS,3,212,9.353,wav16k/STT_NS_M0021_0220_1636579_to_1645932.wav,ཨེ་ནས་སོ་སོ་ད་ཨེ་འདྲའི་ཚོར་དུས་ག་རེ་བྱསད་རེད་ལབ་ན་ད་ཁ་པར་མཚམས་བཞག་ལབ་ནས་ཡོད་བ། ད་སོ་སོ་ཁྱེད་རང་གཟུགས་པོ་ཡིས་ཁྱོད་རང་མིག་གིས་ཡོད་བ་རྟགས་སྟོན་གི་ཡོད་རེད་ཡོད་བ། ད་ཁ་པར་བལྟ་ཡ་མང་དྲགས་ཤག་ལབ་ནས་ལབ་ཀི་ཡོད་རེད། ཨེ་ནས་ད་དུང་།
STT_NS_M0021_0221_1645932_to_1655285,ད་ཁྱོད་ཀི་ད་མཚམས་མ་བཞག་ན་ད་ཁྱོད་རང་ཡོད་བ་ཉི་མ་གཅིག་མིག་ཞ་ར་ཅིག་ཆགས་ཡ་རང་རེད་ཡོད་བ་ད། ཨེ་ནས་ད་དུང་ད་རིང་སང་མི་ཁ་ཤས་ལམ་སང་མིག་སྐྱོ་བོ་ཆགས་ ,da khyod ki da mtshams ma bzhag na da khyod rang yod ba nyi ma gcig mig zha ra cig chags ya rang red yod ba da/_e nas da dung da ring sang mi kha shas lam sang mig skyo bo chags _,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NS_M0021_0221_1645932_to_1655285.wav,STT_NS,3,137,9.353,wav16k/STT_NS_M0021_0221_1645932_to_1655285.wav,ཁྱོད་ཀིས་ད་མཚམས་མ་བཞག་ན་ད་ཁྱོད་རང་ཡོད་བ་ཉི་མ་གཅིག་མིག་ཞ་དརག་ཅིག་ཆགས་ཡ་རང་རེད་ཡོད་བ་ད། ཨེ་ནས་ད་དུང་དེ་རིང་སང་མི་ཁ་ཤས་ལམ་སང་མིག་སྐྱོ་བོ་ཆགས་
STT_NS_M0021_0222_1655285_to_1664638,ཀི་འདུག་བ་ཁ་པར་ཨེ་ནས་ཁ་ཤས་འགྲམ་ནས་མཐོང་ཡ་མེད་རྒྱོ་འདྲ་བོ་ད་ཡང་མིན་ན་ཐག་རིང་པོ་མཐོང་ཡ་མེད་རྒྱོ་འདྲ་བོ་ཨེ་འདྲའི་འདྲ་བོ་ཆགས་ཀི་འདུག་བ། ཨེ་ནས་པུ་གུ་ཆུང་ཆུང་ཡིན་ནས་ད་རིང་སང་ད་པུ་གུ་ཆུང་ཆུང་ ,ki 'dug ba kha par e nas kha shas 'gram nas mthong ya med rgyo 'dra bo da yang min na thag ring po mthong ya med rgyo 'dra bo e 'dra'i 'dra bo chags ki 'dug ba/_e nas pu gu chung chung yin nas da ring sang da pu gu chung chung _,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NS_M0021_0222_1655285_to_1664638.wav,STT_NS,3,185,9.353,wav16k/STT_NS_M0021_0222_1655285_to_1664638.wav,ཀི་འདུག་བ ཁ་པར་ཨེ་ནས་ཁ་ཤས་འགྲམ་ནས་མཐོང་ཡ་མེད་རྒྱོ་འདྲ་བོ་དང་། ཡང་མིན་ན་ཐག་རིང་པོ་མཐོང་ཡ་མེད་རྒྱོ་འདྲ་བོ་ ཨེ་འདྲའི་འདྲ་བོ་ཆགས་ཀི་འདུག་བ། ཨེ་ནས་བུ་གུ་ཆུང་ཆུང་ཡིན་ནས་དེ་རིང་ཁ་སང་ད་བུ་གུ་ཆུང་ཆུང་དང་།
STT_NS_M0021_0223_1664638_to_1673991,དང་ཆེན་པོ་སུ་ཡིན་ནས་ད་ཁ་པར་མེད་ནས་བསྡད་མ་ཐུབ་ངེ་འདྲ་བོ་ཆགས་འདུག་བ་ད། ག་བར་འགྲོ་ནས་ཁ་པར་བལྟ་དགོས་ཡ་ཅིག ཨེ་ནས་དམིགས་གསལ་ཁ་པར་འདི་ཡོད་བ་ད་ང་ཚོ་དགོང་དག ,dang chen po su yin nas da kha par med nas bsdad ma thub nge 'dra bo chags 'dug ba da/_ga bar 'gro nas kha par blta dgos ya cig_e nas dmigs gsal kha par 'di yod ba da nga tsho dgong dag_,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NS_M0021_0223_1664638_to_1673991.wav,STT_NS,3,148,9.353,wav16k/STT_NS_M0021_0223_1664638_to_1673991.wav,ཆེན་པོ་སུ་ཡིན་ནང་ད་ཁ་པར་མེད་ནས་བསྡད་མ་ཐུབ་མྱི་འདྲ་བོ་ཆགས་འདུག་བ་ད། ག་བར་འགྲོ་ན་ཁ་པར་ལྟ་དགོས་ཡ་ཅིག ཨེ་ནས་དམིགས་བསལ་ཁ་པར་འདི་ཡོད་བ་ད་ང་ཚོ་དགོང་དག
STT_NS_M0021_0273_2035352_to_2037394,ཡིན་ནས་ད་ཁ་པར་མཉམ་དུ་ཁྱེད་ག་བ་འཁྲུགས་བ་རྒྱག་བསྡད་ཡ་ཡིན་ད།  ,yin nas da kha par mnyam du khyed ga ba 'khrugs ba rgyag bsdad ya yin da/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NS_M0021_0273_2035352_to_2037394.wav,STT_NS,3,59,2.042,wav16k/STT_NS_M0021_0273_2035352_to_2037394.wav,ཡིན་ནས་ད་ཁ་པར་མཉམ་དུ་ཁྱོད་ག་བ་འཁྲུག་པ་རྒྱབ་བསྡད་ཡིན་ད།
STT_NS_M0021_0274_2038120_to_2044549,ཁ་པར་བཅག་དང་སོ་སོ་སྡུག་གྱོང་རེད་མ་ཤས་ད་ག་རེ་བྱེད་དགོས་རེད་མ་རེད་བེ། མི་མཉན་དུ་འཛིང་ན་ཡང་ཕར་ཚུར་གཞུས་ཕར་གཞུས་ལབ་ནས་ད་གཅིག་ད་ཐོབ་ཀི་རཱ་ཡོད་བ།  ,kha par bcag dang so so sdug gyong red ma shas da ga re byed dgos red ma red be/_mi mnyan du 'dzing na yang phar tshur gzhus phar gzhus lab nas da gcig da thob ki rA yod ba/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NS_M0021_0274_2038120_to_2044549.wav,STT_NS,3,141,6.429,wav16k/STT_NS_M0021_0274_2038120_to_2044549.wav,ཁ་པར་བཅགས་དང་སོ་སོ་སྡུག་གྱོང་རེད་མ་ཤས་ད་ག་རེ་བྱེད་དགོས་རེད་མ་རེད་བ། མི་མཉམ་དུ་འཛིང་ན་ཡང་ཕར་ཚུར་གཞུས་ཕར་གཞུས་ལབ་ནས་ད་གཅིག་ད་ཐོབ་ཀི་རཱ་ཡ།
